RNUM,NATION_NM,ISIN,KOR_SECN_NM,SUM_FRSEC_BUY_AMT,SUM_FRSEC_SELL_AMT,SUM_FRSEC_TOT_AMT,SUM_FRSEC_NET_BUY_AMT,month
7,미국,CA86730L1094,SUNDIAL GROWERS INC,417045131,386513596,803558727,30531536,2021-02
8,미국,US26853E1029,EHANG HOLDINGS LTD ADR,356416146,511265853,867681999,-154849707,2021-02
9,미국,US91332U1016,UNITY SOFTWARE INC,343994456,114380510,458374966,229613946,2021-02
10,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,342602194,228249388,570851583,114352806,2021-02
11,미국,US00214Q1040,ARK INNOVATION ETF,297659694,154959167,452618861,142700526,2021-02
12,미국,US0567521085,BAIDU INC ADR,221766538,199653864,421420402,22112674,2021-02
13,미국,US63008G2030,NANO DIMENSION LTD ADR SPLR 006812923 US63008G1040,221409191,180372435,401781626,41036756,2021-02
14,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,213678764,136599005,350277769,77079759,2021-02
15,미국,US88688T1007,TILRAY BRANDS INC CL 2,207579308,191014091,398593399,16565217,2021-02
16,미국,US92766K1060,VIRGIN GALACTIC HOLDINGS INC CL A,196256257,167494465,363750722,28761792,2021-02
17,미국,KYG045611095,ARCLIGHT CLEAN TRANSITION CORP,192092791,115961100,308053891,76131691,2021-02
18,미국,US0231351067,AMAZON.COM INC,191140438,317197746,508338184,-126057308,2021-02
19,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,183763956,162541756,346305712,21222199,2021-02
20,미국,US6837121036,OPENDOOR TECHNOLOGIES INC,183586631,84576665,268163296,99009965,2021-02
21,미국,US67066G1040,NVIDIA CORP,175537348,260491882,436029230,-84954534,2021-02
22,미국,KYG8252P1054,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP V CL A,170438660,121990606,292429266,48448053,2021-02
23,미국,MHY1146L1092,Castor Maritime,150512842,148499389,299012231,2013452,2021-02
24,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,145876351,85157494,231033845,60718857,2021-02
25,홍콩,HK0000562659,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (HKD),139491754,118045769,257537523,21445985,2021-02
26,미국,US5006001011,KOPIN CORP,136394730,87986404,224381135,48408326,2021-02
27,미국,IL0011681371,NANO X IMAGING LTD,135487626,113703123,249190749,21784503,2021-02
28,미국,CA09228F1036,BLACKBERRY LTD (OLD CA7609751028),133792657,132449929,266242586,1342728,2021-02
29,미국,US67577C1053,OCUGEN INC,133409949,129696904,263106853,3713045,2021-02
30,미국,US46269C1027,IRIDIUM COMMUNICATIONS INC,131778810,52903936,184682746,78874874,2021-02
31,미국,US0636798722,BMO MICROSECTORS FANG+ INDEX 3X LEVERAGED ETN,129407240,95718947,225126186,33688293,2021-02
32,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,127996836,125858512,253855348,2138324,2021-02
33,미국,US7475251036,QUALCOMM INC,127069652,81882650,208952302,45187002,2021-02
34,미국,US7672921050,RIOT BLOCKCHAIN INC CHAN 39727803954 US09074N1019,124455976,113939578,238395554,10516398,2021-02
35,미국,US62914V1061,NIO INC ADR,124073406,168026903,292100309,-43953496,2021-02
36,미국,US74347W1484,PROSHARES TRUST II ULTRA VIX SHT TRM FUTR ETF SPLR 006052079 US74347W1633,121586696,114139683,235726379,7447012,2021-02
37,미국,CA98980M1095,ZOMEDICA CORP CHAN 007599231 CA98979F1071,115657811,106561225,222219036,9096585,2021-02
38,미국,US0970231058,BOEING CO,115221373,90902952,206124325,24318421,2021-02
39,미국,US02079K3059,ALPHABET INC CL A,115017605,112694573,227712179,2323032,2021-02
40,미국,US00848K1016,AGEAGLE AERIAL SYSTEMS INC,113460460,93762321,207222781,19698138,2021-02
41,미국,US2546871060,WALT DISNEY CO,110724443,87305347,198029790,23419095,2021-02
42,미국,US09075F1075,BIONANO GENOMICS INC,109228532,118702851,227931383,-9474320,2021-02
43,미국,US74767V1098,QUANTUMSCAPE CORP CL A EXOF 007727772 US4900732029,108586370,113373984,221960354,-4787613,2021-02
44,미국,US74347G8612,PROSHARES ULTRAPRO SHORT QQQ ETF,108330005,106217233,214547237,2112772,2021-02
45,홍콩,HK0000562642,GLOBAL X CHINA ELECTRIC VEHICLE AND BATTERY ETF (USD),107216396,86343367,193559763,20873029,2021-02
46,미국,AU0000069130,NAKED BRAND GROUP LTD,106450095,105599892,212049987,850203,2021-02
47,미국,US00214Q3020,ARK GENOMIC REVOLUTION ETF,106164818,83617056,189781874,22547763,2021-02
48,미국,US3743964062,GEVO INC,105713555,123942355,229655910,-18228799,2021-02
49,미국,US72919P2020,PLUG POWER INC,104275076,96794208,201069284,7480868,2021-02
50,미국,US30231G1022,EXXON MOBIL CORP,94549168,75678842,170228010,18870326,2021-02
1,미국,US88160R1014,TESLA INC,2105744771,1873761251,3979506021,231983520,2021-03
2,미국,US36467W1099,GAMESTOP CORP,934223373,931603136,1865826509,2620236,2021-03
3,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,780655826,601047135,1381702961,179608692,2021-03
4,미국,US0378331005,APPLE INC,616124391,435596379,1051720769,180528012,2021-03
5,미국,US0636798722,BMO MICROSECTORS FANG+ INDEX 3X LEVERAGED ETN,568989470,343605258,912594728,225384212,2021-03
6,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,488864972,338961523,827826495,149903449,2021-03
7,미국,US1714391026,CHURCHILL CAPITAL CORP IV,418959914,393970024,812929938,24989890,2021-03
8,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,336570295,263517239,600087534,73053055,2021-03
9,미국,US74347G8612,PROSHARES ULTRAPRO SHORT QQQ ETF,311359556,308922230,620281786,2437327,2021-03
10,미국,US91332U1016,UNITY SOFTWARE INC,217044359,126564006,343608365,90480352,2021-03
11,일본,JP3933800009,LY CORPORATION,209231324,4331889,213563213,204899434,2021-03
12,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,206962641,149340747,356303389,57621894,2021-03
13,미국,US67066G1040,NVIDIA CORP,205721737,156615625,362337361,49106112,2021-03
14,미국,US0970231058,BOEING CO,202824002,212872521,415696523,-10048519,2021-03
15,미국,US22266T1097,COUPANG INC,189923771,97812266,287736036,92111505,2021-03
16,미국,PA1436583006,CARNIVAL CORP,189549743,139714975,329264718,49834768,2021-03
17,미국,US00165C1045,AMC ENTERTAINMENT HOLDINGS INC,174351244,179581405,353932649,-5230161,2021-03
18,미국,US0231351067,AMAZON.COM INC,169091879,159232971,328324849,9858908,2021-03
19,미국,US0567521085,BAIDU INC ADR,163691839,208985853,372677692,-45294014,2021-03
20,미국,US7710491033,ROBLOX CORP CL A,162860418,96909593,259770011,65950825,2021-03
21,미국,US00214Q1040,ARK INNOVATION ETF,149632701,173151355,322784055,-23518654,2021-03
22,미국,CA86730L1094,SUNDIAL GROWERS INC,143995117,124904708,268899824,19090409,2021-03
23,미국,US81362J2096,SECOND SIGHT MEDICAL PRODUCT SPLR 006913066 US81362J1007,140042663,139503721,279546384,538943,2021-03
24,미국,US5006001011,KOPIN CORP,139087707,119619909,258707616,19467799,2021-03
25,미국,US02079K3059,ALPHABET INC CL A,134962496,86461531,221424027,48500966,2021-03
26,미국,US2546871060,WALT DISNEY CO,134196759,82453513,216650272,51743247,2021-03
27,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,132714579,119256301,251970880,13458277,2021-03
28,미국,US62914V1061,NIO INC ADR,120257143,137009004,257266147,-16751860,2021-03
29,미국,KYG045611095,ARCLIGHT CLEAN TRANSITION CORP,117176255,86045396,203221651,31130859,2021-03
30,미국,US72919P2020,PLUG POWER INC,111360466,93558057,204918523,17802409,2021-03
31,미국,IL0011681371,NANO X IMAGING LTD,109803012,58398584,168201596,51404428,2021-03
32,미국,US63008G2030,NANO DIMENSION LTD ADR SPLR 006812923 US63008G1040,109551174,114549312,224100486,-4998137,2021-03
33,미국,US92766K1060,VIRGIN GALACTIC HOLDINGS INC CL A,104281595,66572846,170854440,37708749,2021-03
34,미국,US6837121036,OPENDOOR TECHNOLOGIES INC,103187825,103353833,206541658,-166008,2021-03
35,미국,US0090661010,AIRBNB INC CL A,102646265,73973412,176619676,28672853,2021-03
36,미국,US67577C1053,OCUGEN INC,101031008,100626164,201657172,404844,2021-03
37,미국,US7672921050,RIOT BLOCKCHAIN INC CHAN 39727803954 US09074N1019,92874543,93467761,186342303,-593218,2021-03
38,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,88658832,48622621,137281453,40036211,2021-03
39,미국,US74347W1484,PROSHARES TRUST II ULTRA VIX SHT TRM FUTR ETF SPLR 006052079 US74347W1633,88390020,89062633,177452653,-672612,2021-03
40,미국,KYG8252P1054,SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP V CL A,85505707,81114253,166619960,4391454,2021-03
41,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,83808599,57599011,141407610,26209588,2021-03
42,미국,US87918A1051,TELADOC HEALTH INC,82101863,45144044,127245907,36957819,2021-03
43,미국,US74347B2016,PROSHARES ULTRASHORT 20+ YEAR TREASURY ETF,81428300,8778670,90206970,72649629,2021-03
44,미국,US02376R1023,AMERICAN AIRLINES GROUP INC,80318813,74393305,154712118,5925507,2021-03
45,미국,US26853E1029,EHANG HOLDINGS LTD ADR,78380350,64249709,142630059,14130641,2021-03
46,미국,US5949181045,MICROSOFT CORP,77267348,76603838,153871186,663511,2021-03
47,미국,US30231G1022,EXXON MOBIL CORP,77249412,105906413,183155825,-28657001,2021-03
48,미국,US74767V1098,QUANTUMSCAPE CORP CL A EXOF 007727772 US4900732029,75209402,67990111,143199513,7219292,2021-03
49,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,74329025,41988057,116317082,32340967,2021-03
50,미국,US88688T1007,TILRAY BRANDS INC CL 2,73300326,67581086,140881412,5719240,2021-03
1,미국,US88160R1014,TESLA INC,1143325337,997630073,2140955410,145695264,2021-04
2,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,472424749,499210786,971635534,-26786037,2021-04
3,미국,US0378331005,APPLE INC,356117821,342715459,698833279,13402362,2021-04
4,미국,US0636798722,BMO MICROSECTORS FANG+ INDEX 3X LEVERAGED ETN,319820210,350714441,670534651,-30894230,2021-04
5,미국,US36467W1099,GAMESTOP CORP,227768691,215335979,443104671,12432712,2021-04
6,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,198927304,157106266,356033570,41821038,2021-04
7,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,182014570,111937505,293952075,70077065,2021-04
8,미국,US19260Q1076,COINBASE GLOBAL INC,174546445,85495473,260041918,89050973,2021-04
9,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,174414480,90106468,264520948,84308011,2021-04
10,미국,US83067L1098,SKILLZ INC CL A MRGR 007792308 US34407Y1038,169335782,131530773,300866555,37805009,2021-04
11,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,163384730,214568221,377952951,-51183491,2021-04
12,미국,US78462F1030,SPDR SP 500 ETF TRUST,154125209,38024418,192149627,116100791,2021-04
13,미국,US1714391026,CHURCHILL CAPITAL CORP IV,146926307,105210633,252136940,41715675,2021-04
14,미국,US0231351067,AMAZON.COM INC,144348272,163360592,307708865,-19012320,2021-04
15,미국,US67066G1040,NVIDIA CORP,141502239,201818171,343320410,-60315932,2021-04
16,미국,IL0011681371,NANO X IMAGING LTD,132951061,103028134,235979195,29922927,2021-04
17,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,124453532,73228932,197682463,51224600,2021-04
18,미국,US02079K3059,ALPHABET INC CL A,120979763,63498138,184477900,57481625,2021-04
19,미국,US5949181045,MICROSOFT CORP,114125715,68340033,182465747,45785682,2021-04
20,미국,US0970231058,BOEING CO,108650646,78404983,187055630,30245663,2021-04
21,미국,US7710491033,ROBLOX CORP CL A,105495471,63809906,169305376,41685565,2021-04
22,미국,US74347G8612,PROSHARES ULTRAPRO SHORT QQQ ETF,95832960,93822383,189655344,2010577,2021-04
23,미국,US2546871060,WALT DISNEY CO,88373224,53178840,141552064,35194384,2021-04
24,미국,US67577C1053,OCUGEN INC,80226694,78384514,158611208,1842180,2021-04
25,미국,USN070592100,ASML HOLDING NV ADR,79752187,51397410,131149596,28354777,2021-04
26,미국,US15961R1059,CHARGEPOINT HOLDINGS INC CL A MRGR 007972981 US87105M1027,76789694,49098293,125887987,27691401,2021-04
27,미국,US5949603048,MICROVISION INC,75668005,74151863,149819867,1516142,2021-04
28,미국,PA1436583006,CARNIVAL CORP,74969595,71730720,146700315,3238875,2021-04
29,미국,US9229083632,VANGUARD SP 500 ETF SPLR 39326002188 US9229084135,72948190,25575686,98523876,47372503,2021-04
30,미국,US4581401001,INTEL CORP,72363972,36127720,108491692,36236252,2021-04
31,미국,US4448632038,HUMANIGEN INC SPLR 007471317 US4448631048,71138336,56303328,127441665,14835008,2021-04
32,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,70879724,66312180,137191904,4567544,2021-04
33,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,69461081,52279582,121740663,17181499,2021-04
34,미국,US30303M1027,META PLATFORMS INC CL A,68630648,43590833,112221481,25039816,2021-04
35,미국,US0567521085,BAIDU INC ADR,67736686,83607436,151344122,-15870750,2021-04
36,미국,US5657881067,MARATHON DIGITAL HOLDINGS INC,67734276,68372949,136107225,-638673,2021-04
37,미국,US6541061031,NIKE INC CL B,64740450,25119573,89860022,39620877,2021-04
38,미국,US92189F6768,VANECK SEMICONDUCTOR ETF CHAN 39610601171 US57060U2336,64292344,41989627,106281971,22302717,2021-04
39,미국,US70450Y1038,PAYPAL HOLDINGS INC,61887372,32285535,94172907,29601836,2021-04
40,미국,US91332U1016,UNITY SOFTWARE INC,61438846,55164041,116602887,6274805,2021-04
41,미국,US35953D1046,FUBOTV INC,60581248,47574542,108155790,13006706,2021-04
42,미국,US72919P2020,PLUG POWER INC,60033593,43786170,103819763,16247423,2021-04
43,미국,US92766K1060,VIRGIN GALACTIC HOLDINGS INC CL A,60024371,37376231,97400602,22648141,2021-04
44,미국,US0382221051,APPLIED MATERIALS INC,59936836,21001637,80938473,38935200,2021-04
45,미국,US6700024010,NOVAVAX INC SPLR 006427946 US6700021040,59926779,50129485,110056264,9797293,2021-04
46,미국,US0079031078,ADVANCED MICRO DEVICES INC,59538119,46128634,105666753,13409485,2021-04
47,미국,US00214Q1040,ARK INNOVATION ETF,58269636,83136589,141406225,-24866953,2021-04
48,미국,US92556H2067,PARAMOUNT GLOBAL CL B CHAN 006847737 US1248572026,57118938,29460691,86579628,27658247,2021-04
49,미국,US7672921050,RIOT BLOCKCHAIN INC CHAN 39727803954 US09074N1019,57038535,65750045,122788579,-8711510,2021-04
50,미국,US2362721001,DANIMER SCIENTIFIC INC EXOF 007821143 US53804F2020,56840129,25723909,82564038,31116220,2021-04
1,미국,US88160R1014,TESLA INC,1169509687,1088706375,2258216062,80803312,2021-05
2,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,601816832,577932357,1179749188,23884475,2021-05
3,미국,US0636798722,BMO MICROSECTORS FANG+ INDEX 3X LEVERAGED ETN,338783219,368990093,707773312,-30206874,2021-05
4,미국,US0378331005,APPLE INC,320866269,361195552,682061820,-40329283,2021-05
5,미국,US0231351067,AMAZON.COM INC,271684230,190294816,461979046,81389414,2021-05
6,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,254133278,203786760,457920038,50346518,2021-05
7,미국,US74347G8612,PROSHARES ULTRAPRO SHORT QQQ ETF,196932301,191105465,388037766,5826836,2021-05
8,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,161818878,160544536,322363414,1274341,2021-05
9,미국,US67066G1040,NVIDIA CORP,133089849,143339940,276429788,-10250091,2021-05
10,미국,US02079K3059,ALPHABET INC CL A,128726385,103603628,232330013,25122757,2021-05
11,미국,US00165C1045,AMC ENTERTAINMENT HOLDINGS INC,120644168,123713258,244357426,-3069091,2021-05
12,미국,US67577C1053,OCUGEN INC,119777397,121185567,240962964,-1408170,2021-05
13,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,106067761,99874024,205941785,6193737,2021-05
14,미국,US5949181045,MICROSOFT CORP,100470986,78420220,178891206,22050767,2021-05
15,미국,US1714391026,CHURCHILL CAPITAL CORP IV,98077551,79516020,177593571,18561531,2021-05
16,미국,US19260Q1076,COINBASE GLOBAL INC,97577569,72188120,169765689,25389448,2021-05
17,미국,US78462F1030,SPDR SP 500 ETF TRUST,97055514,52881136,149936650,44174378,2021-05
18,미국,US0970231058,BOEING CO,96011085,65304403,161315488,30706683,2021-05
19,미국,US5949603048,MICROVISION INC,94342335,94536457,188878792,-194123,2021-05
20,미국,US7710491033,ROBLOX CORP CL A,88296247,99274883,187571130,-10978637,2021-05
21,미국,US2546871060,WALT DISNEY CO,87926155,59227993,147154148,28698162,2021-05
22,미국,US36467W1099,GAMESTOP CORP,87440818,87677873,175118691,-237055,2021-05
23,미국,US0090661010,AIRBNB INC CL A,74978552,37184203,112162755,37794348,2021-05
24,미국,US74347W1484,PROSHARES TRUST II ULTRA VIX SHT TRM FUTR ETF SPLR 006052079 US74347W1633,70315084,68031139,138346222,2283945,2021-05
25,미국,US25490K3234,DIREXION DAILY SP BIOTECH BULL 3X SHS ETF,67191728,57332034,124523762,9859694,2021-05
26,미국,IL0011681371,NANO X IMAGING LTD,66443980,36808268,103252248,29635712,2021-05
27,미국,US92766K1060,VIRGIN GALACTIC HOLDINGS INC CL A,66230800,60646450,126877250,5584350,2021-05
28,미국,US8740391003,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,64344158,76948811,141292969,-12604653,2021-05
29,미국,US83067L1098,SKILLZ INC CL A MRGR 007792308 US34407Y1038,62823348,65602592,128425939,-2779244,2021-05
30,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,62126833,67027533,129154366,-4900699,2021-05
31,미국,US91332U1016,UNITY SOFTWARE INC,60250077,64718499,124968576,-4468422,2021-05
32,미국,USN070592100,ASML HOLDING NV ADR,59170911,55947527,115118438,3223384,2021-05
33,미국,PA1436583006,CARNIVAL CORP,58711270,56696782,115408052,2014487,2021-05
34,미국,US6700024010,NOVAVAX INC SPLR 006427946 US6700021040,55996722,46369045,102365767,9627676,2021-05
35,미국,US25460G6908,DIREXION DAILY SEMICONDUCTORS BEAR 3X SHS ETF SPLR 007451727 US25460E1828,51765571,49295766,101061338,2469805,2021-05
36,미국,US30231G1022,EXXON MOBIL CORP,51424076,58651093,110075169,-7227017,2021-05
37,미국,US00206R1023,AT AND T INC,51395795,73738937,125134732,-22343141,2021-05
38,미국,US06367V1052,BMO MICROSECTORS US BIG OIL INDEX 3X LEVERAGED ETN,50660904,57130432,107791336,-6469528,2021-05
39,미국,US0079031078,ADVANCED MICRO DEVICES INC,50324847,42832504,93157352,7492343,2021-05
40,미국,US01609W1027,ALIBABA GROUP HOLDING LTD ADR,49734162,36584774,86318936,13149388,2021-05
41,미국,US25400W1027,DIGITAL TURBINE INC,49554029,49989177,99543206,-435148,2021-05
42,미국,US6541101050,NIKOLA CORP EXOF 007323093 US92243N2027,48060885,41364857,89425742,6696028,2021-05
43,미국,US60770K1079,MODERNA INC,46485371,57565806,104051177,-11080435,2021-05
44,미국,US72919P2020,PLUG POWER INC,46088627,46217833,92306460,-129206,2021-05
45,미국,US7561091049,REALTY INCOME CORP,43317856,24524871,67842727,18792985,2021-05
46,미국,US22266T1097,COUPANG INC,43030444,29510422,72540866,13520022,2021-05
47,미국,US87918A1051,TELADOC HEALTH INC,42225979,65639945,107865924,-23413966,2021-05
48,미국,US74019L5030,PRECIPIO INC SPLR 006195383 US74019L1070,41561552,38512644,80074196,3048907,2021-05
49,미국,US2362721001,DANIMER SCIENTIFIC INC EXOF 007821143 US53804F2020,40869559,25368726,66238284,15500833,2021-05
50,미국,US6837121036,OPENDOOR TECHNOLOGIES INC,40749477,36167777,76917254,4581700,2021-05
1,미국,US00165C1045,AMC ENTERTAINMENT HOLDINGS INC,1447707641,1402209876,2849917518,45497765,2021-06
2,미국,US88160R1014,TESLA INC,757918576,745153532,1503072108,12765044,2021-06
3,미국,US0378331005,APPLE INC,306222144,303756474,609978618,2465670,2021-06
4,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,235366173,385873392,621239566,-150507219,2021-06
5,미국,US0231351067,AMAZON.COM INC,230472523,198663705,429136228,31808818,2021-06
6,미국,US36467W1099,GAMESTOP CORP,228788462,199932781,428721243,28855680,2021-06
7,미국,US7710491033,ROBLOX CORP CL A,221629220,140098555,361727775,81530665,2021-06
8,미국,US67066G1040,NVIDIA CORP,207545722,277568802,485114524,-70023079,2021-06
9,미국,CA09228F1036,BLACKBERRY LTD (OLD CA7609751028),166017839,161837614,327855453,4180224,2021-06
10,미국,US0090661010,AIRBNB INC CL A,163855256,86001348,249856604,77853908,2021-06
11,미국,US92766K1060,VIRGIN GALACTIC HOLDINGS INC CL A,154004271,173303765,327308036,-19299493,2021-06
12,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,150604136,216339152,366943288,-65735015,2021-06
13,미국,US1714391026,CHURCHILL CAPITAL CORP IV,134758449,124750340,259508788,10008109,2021-06
14,미국,US0636798722,BMO MICROSECTORS FANG+ INDEX 3X LEVERAGED ETN,129029917,243511285,372541203,-114481368,2021-06
15,미국,US02079K3059,ALPHABET INC CL A,126240436,76359889,202600325,49880547,2021-06
